_id,Serial No,Timestamp,Temperature,Humidity,latitude,longitude
271,1392986133,2014-02-21T18:05:33,26.7,54,13.00361,77.61818
272,1392986440,2014-02-21T18:10:40,26.6,54,13.00361,77.61818
273,1392986748,2014-02-21T18:15:48,26.5,54,13.00361,77.61818
274,1392987056,2014-02-21T18:20:56,26.5,54,13.00361,77.61818
275,1392987364,2014-02-21T18:26:04,26.4,54,13.00361,77.61818
276,1392987672,2014-02-21T18:31:12,26.3,54,13.00361,77.61818
277,1392987979,2014-02-21T18:36:19,26.3,54,13.00361,77.61818
278,1392988287,2014-02-21T18:41:27,26.2,54,13.00361,77.61818
279,1392988594,2014-02-21T18:46:34,26.2,54,13.00361,77.61818
280,1392988851,2014-02-21T18:50:51,26.2,55,13.00361,77.61818
281,1392989158,2014-02-21T18:55:58,26.1,55,13.00361,77.61818
282,1392989466,2014-02-21T19:01:06,26.1,55,13.00361,77.61818
283,1392989774,2014-02-21T19:06:14,26.1,54,13.00361,77.61818
284,1392990081,2014-02-21T19:11:21,26.1,54,13.00361,77.61818
285,1392990389,2014-02-21T19:16:29,26,55,13.00361,77.61818
286,1392990695,2014-02-21T19:21:35,26,55,13.00361,77.61818
287,1392991003,2014-02-21T19:26:43,26,55,13.00361,77.61818
288,1392991312,2014-02-21T19:31:52,25.9,55,13.00361,77.61818
289,1392991619,2014-02-21T19:36:59,25.9,55,13.00361,77.61818
290,1392991926,2014-02-21T19:42:06,25.9,55,13.00361,77.61818
291,1392992182,2014-02-21T19:46:22,25.8,55,13.00361,77.61818
292,1392992490,2014-02-21T19:51:30,25.8,55,13.00361,77.61818
293,1392992798,2014-02-21T19:56:38,25.8,55,13.00361,77.61818
294,1392993106,2014-02-21T20:01:46,25.8,55,13.00361,77.61818
295,1392993414,2014-02-21T20:06:54,25.8,56,13.00361,77.61818
296,1392993721,2014-02-21T20:12:01,25.8,56,13.00361,77.61818
297,1392994029,2014-02-21T20:17:09,25.8,56,13.00361,77.61818
298,1392994337,2014-02-21T20:22:17,25.8,56,13.00361,77.61818
299,1392994644,2014-02-21T20:27:24,25.8,56,13.00361,77.61818
300,1392994952,2014-02-21T20:32:32,25.8,55,13.00361,77.61818
301,1392995259,2014-02-21T20:37:39,25.7,56,13.00361,77.61818
302,1392995515,2014-02-21T20:41:55,25.7,56,13.00361,77.61818
303,1392995822,2014-02-21T20:47:02,25.7,56,13.00361,77.61818
304,1392996130,2014-02-21T20:52:10,25.6,56,13.00361,77.61818
305,1392996438,2014-02-21T20:57:18,25.6,56,13.00361,77.61818
